time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,-0.000011,0.000001,-0.002775
0.010000,0.000000,-0.000011,0.000007,0.000326
0.015000,0.000000,-0.000009,0.000025,0.000340
0.020000,0.000000,-0.000065,0.000058,-0.006294
0.025000,0.000001,-0.000102,0.000104,-0.006245
0.030000,0.000001,-0.000127,0.000160,-0.006151
0.035000,0.000002,-0.000163,0.000220,-0.006080
0.040000,0.000004,-0.000167,0.000283,-0.004919
0.045000,0.000005,-0.000197,0.000351,-0.004841
0.050000,0.000007,-0.000196,0.000426,-0.003934
0.055000,0.000010,-0.000220,0.000510,-0.003838
0.060000,0.000013,-0.000448,0.000607,-0.011489
0.065000,0.000016,-0.000517,0.000717,-0.011368
0.070000,0.000020,-0.000477,0.000847,-0.008602
0.075000,0.000025,-0.000528,0.001008,-0.008432
0.080000,0.000030,-0.000189,0.001209,0.001973
0.085000,0.000037,-0.000177,0.001451,0.002244
0.090000,0.000045,0.000220,0.001726,0.012038
0.095000,0.000054,0.000293,0.002021,0.012392
0.100000,0.000065,0.000538,0.002315,0.017033
0.105000,0.000078,0.003406,0.002587,0.118362
0.110000,0.000091,0.003887,0.002774,0.116468
0.115000,0.000105,0.004586,0.002755,0.116591
0.120000,0.000118,0.005054,0.002399,0.116596
0.125000,0.000128,0.005752,0.001567,0.115872
0.130000,0.000132,0.006231,0.000145,0.116103
0.135000,0.000127,0.006923,-0.001938,0.113930
0.140000,0.000109,0.007389,-0.004711,0.112456
0.145000,0.000075,0.008056,-0.008153,0.108625
0.150000,0.000023,0.008400,-0.012167,0.102446
0.155000,-0.000052,0.009005,-0.016702,0.097235
0.160000,-0.000150,0.009065,-0.021666,0.083890
0.165000,-0.000274,0.009556,-0.026911,0.077738
0.170000,-0.000425,0.009859,-0.032359,0.073337
0.175000,-0.000603,0.010286,-0.037935,0.066700
0.180000,-0.000810,0.010656,-0.043596,0.064538
0.185000,-0.001045,0.011030,-0.049236,0.057720
0.190000,-0.001308,0.011532,-0.054741,0.058728
0.195000,-0.001598,0.011871,-0.060240,0.052075
0.200000,-0.001915,0.012209,-0.065677,0.050105
0.205000,-0.002260,0.000237,-0.071111,-0.008398
0.210000,-0.002632,0.000194,-0.076459,-0.012228
0.215000,-0.003029,0.000108,-0.081564,-0.018529
0.220000,-0.003452,0.000033,-0.086281,-0.021195
0.225000,-0.003896,-0.000105,-0.090581,-0.026581
0.230000,-0.004361,-0.000219,-0.094450,-0.030180
0.235000,-0.004844,-0.000409,-0.097923,-0.034614
0.240000,-0.005342,-0.000505,-0.100931,-0.034668
0.245000,-0.005855,-0.000720,-0.103480,-0.037973
0.250000,-0.006379,-0.001052,-0.105534,-0.047386
0.255000,-0.006911,-0.001341,-0.107087,-0.049508
0.260000,-0.007450,-0.001792,-0.108168,-0.059479
0.265000,-0.007993,-0.002152,-0.108803,-0.060507
0.270000,-0.008538,-0.002320,-0.109026,-0.058543
0.275000,-0.009083,-0.002671,-0.108870,-0.058567
0.280000,-0.009626,-0.002878,-0.108365,-0.057541
0.285000,-0.010165,-0.003222,-0.107532,-0.056703
0.290000,-0.010699,-0.003456,-0.106400,-0.056097
0.295000,-0.011227,-0.003790,-0.105005,-0.054534
0.300000,-0.011748,-0.004114,-0.103390,-0.055798
0.305000,-0.012259,-0.015668,-0.101545,-0.085811
0.310000,-0.012761,-0.016106,-0.099500,-0.081439
0.314999,-0.013252,-0.016589,-0.097280,-0.078892
0.319999,-0.013731,-0.016951,-0.094841,-0.074426
0.324999,-0.014197,-0.017392,-0.092116,-0.071339
0.329999,-0.014648,-0.017647,-0.089041,-0.073687
0.334999,-0.015083,-0.018081,-0.085558,-0.069770
0.339999,-0.015500,-0.018414,-0.081647,-0.081009
0.344999,-0.015895,-0.018891,-0.077350,-0.076168
0.349999,-0.016268,-0.019234,-0.072707,-0.076047
0.354999,-0.016617,-0.019679,-0.067782,-0.070415
0.359999,-0.016940,-0.019996,-0.062508,-0.068358
0.364999,-0.017236,-0.020393,-0.057002,-0.061984
0.369999,-0.017504,-0.020496,-0.051277,-0.052137
0.374999,-0.017743,-0.020795,-0.045328,-0.045141
0.379999,-0.017951,-0.020957,-0.039157,-0.039838
0.384999,-0.018128,-0.021181,-0.032827,-0.032294
0.389999,-0.018273,-0.021355,-0.026468,-0.028546
0.394998,-0.018386,-0.021511,-0.020137,-0.020940
0.399998,-0.018468,-0.021290,-0.013943,-0.008878
0.404998,-0.018519,-0.015472,-0.007742,0.051136
0.409998,-0.018540,-0.015317,-0.001586,0.057506
0.414998,-0.018530,-0.014957,0.004341,0.064815
0.419998,-0.018491,-0.014766,0.009953,0.072454
0.424998,-0.018425,-0.014318,0.015156,0.079009
0.429998,-0.018335,-0.013981,0.019855,0.081638
0.434998,-0.018223,-0.013480,0.023984,0.086969
0.439998,-0.018093,-0.013125,0.027480,0.085670
0.444998,-0.017947,-0.012603,0.030308,0.089464
0.449998,-0.017788,-0.012339,0.032496,0.080071
0.454998,-0.017621,-0.011854,0.034049,0.082289
0.459998,-0.017447,-0.011524,0.035017,0.083204
0.464998,-0.017271,-0.011023,0.035487,0.084040
0.469997,-0.017093,-0.010369,0.035542,0.097239
0.474997,-0.016916,-0.009785,0.035249,0.097087
0.479997,-0.016741,-0.009177,0.034662,0.103748
0.484997,-0.016571,-0.008556,0.033815,0.102889
0.489997,-0.016405,-0.008292,0.032717,0.098227
0.494997,-0.016245,-0.007706,0.031385,0.096778
0.499997,-0.016093,-0.007186,0.029838,0.098676
0.504997,-0.015949,-0.006364,0.027985,0.115075
0.509997,-0.015815,-0.005968,0.025808,0.115001
0.514997,-0.015694,-0.005284,0.023318,0.112181
0.519997,-0.015585,-0.004861,0.020514,0.110966
0.524997,-0.015492,-0.004202,0.017456,0.107432
0.529997,-0.015415,-0.003776,0.014102,0.104933
0.534997,-0.015355,-0.003155,0.010485,0.100702
0.539997,-0.015314,-0.002754,0.006613,0.097076
0.544997,-0.015293,-0.002181,0.002529,0.092255
