time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000016,0.300030
0.010000,0.000025,0.300057
0.015000,0.000040,0.300105
0.020000,0.000082,0.300143
0.025000,0.000122,0.300210
0.030000,0.000148,0.300260
0.035000,0.000189,0.300344
0.040000,0.000198,0.300407
0.045000,0.000233,0.300509
0.050000,0.000239,0.300583
0.055000,0.000270,0.300704
0.060000,0.000484,0.300790
0.065000,0.000558,0.300928
0.070000,0.000527,0.301027
0.075000,0.000585,0.301183
0.080000,0.000301,0.301293
0.085000,0.000309,0.301468
0.090000,0.000297,0.301590
0.095000,0.000349,0.301782
0.100000,0.000546,0.301916
0.105000,0.012874,0.301283
0.110000,0.013176,0.301364
0.115000,0.013650,0.301490
0.120000,0.013982,0.301577
0.125000,0.014503,0.301712
0.130000,0.014872,0.301805
0.135000,0.015438,0.301949
0.140000,0.015833,0.302048
0.145000,0.016437,0.302201
0.150000,0.016807,0.302306
0.155000,0.017428,0.302468
0.160000,0.017683,0.302579
0.165000,0.018291,0.302750
0.170000,0.018700,0.302867
0.175000,0.019323,0.303047
0.180000,0.019805,0.303169
0.185000,0.020451,0.303358
0.190000,0.021049,0.303487
0.195000,0.021730,0.303684
0.200000,0.022271,0.303819
0.205000,0.013005,0.302969
0.210000,0.013349,0.303068
0.215000,0.013873,0.303219
0.220000,0.014227,0.303322
0.225000,0.014767,0.303479
0.230000,0.015130,0.303585
0.235000,0.015679,0.303749
0.240000,0.016061,0.303859
0.245000,0.016625,0.304028
0.250000,0.016946,0.304143
0.255000,0.017501,0.304318
0.260000,0.017790,0.304437
0.265000,0.018331,0.304618
0.270000,0.018717,0.304740
0.275000,0.019265,0.304927
0.280000,0.019642,0.305054
0.285000,0.020194,0.305247
0.290000,0.020559,0.305377
0.295000,0.021112,0.305576
0.300000,0.021443,0.305711
0.305000,0.033177,0.304754
0.310000,0.033628,0.304861
0.314999,0.034291,0.305024
0.319999,0.034739,0.305135
0.324999,0.035402,0.305302
0.329999,0.035843,0.305415
